client,age,education_years,hours_per_week,sex,income
client_0,34.5,12,42.6,M,0
client_0,25.3,6,31.0,F,0
client_0,24.7,10,41.9,M,1
client_0,42.1,7,25.5,M,0
client_0,58.9,16,53.4,F,1
client_0,41.9,9,52.5,F,1
client_0,38.6,8,37.5,F,0
client_0,43.4,12,43.6,M,1
client_0,55.7,10,15.9,F,0
client_0,42.6,7,28.4,M,0
client_0,35.1,14,37.1,F,1
client_0,53.3,15,29.3,F,1
client_0,45.1,14,47.1,M,1
client_0,58.4,12,60.0,M,1
client_0,42.2,10,28.2,M,0
client_0,25.3,11,31.6,F,0
client_0,23.6,11,42.4,F,0
client_0,59.8,7,56.1,F,0
client_0,60.7,6,27.8,M,0
client_0,37.8,8,42.5,M,0
client_0,35.4,10,58.2,F,1
client_0,57.5,7,23.5,M,0
client_0,26.7,7,27.2,F,0
client_0,29.3,15,35.8,M,1
client_0,47.7,10,34.8,M,1
client_0,35.3,12,48.1,M,1
client_0,39.9,11,42.4,F,0
client_0,38.0,14,22.3,M,1
client_0,44.1,14,45.2,F,1
client_0,56.9,9,34.2,M,0
client_0,41.1,15,52.7,F,1
client_0,47.7,10,33.7,M,1
client_0,18.0,15,33.6,F,1
client_0,39.4,10,45.4,F,0
client_0,29.9,7,47.6,M,0
client_0,25.4,14,44.5,M,1
client_0,29.5,6,23.1,F,0
client_0,36.0,14,45.4,M,0
client_0,51.0,6,29.7,F,0
client_0,24.1,8,42.4,F,0
client_0,40.4,12,25.8,F,1
client_0,34.2,16,44.5,F,1
client_0,36.1,10,31.9,F,0
client_0,52.0,7,27.2,F,0
client_0,46.5,8,47.1,F,0
client_0,56.0,15,42.4,F,1
client_0,38.1,13,33.9,F,1
client_0,31.6,7,54.5,M,0
client_0,37.3,10,35.6,M,0
client_0,42.9,8,40.3,F,0
client_0,42.1,7,42.7,F,0
client_0,27.0,15,33.8,M,0
client_0,41.1,12,44.7,M,1
client_0,42.7,7,34.7,M,0
client_0,70.2,13,35.9,M,1
client_0,62.5,10,53.6,M,1
client_0,29.8,6,29.6,M,0
client_0,36.6,10,15.9,F,0
client_0,22.4,8,56.1,F,0
client_0,32.9,8,65.5,F,0
client_0,43.8,15,35.9,F,1
client_0,54.5,13,20.6,M,1
client_0,31.3,7,36.9,M,0
client_0,32.2,15,37.1,M,1
client_0,18.0,12,38.1,F,1
client_0,38.0,15,28.9,F,1
client_0,27.3,14,45.8,F,1
client_0,33.6,9,45.2,M,1
client_0,29.5,11,25.1,F,0
client_0,38.9,11,47.0,F,1
client_0,18.9,13,60.5,M,1
client_0,22.4,8,41.7,M,0
client_0,65.6,9,36.6,M,0
client_0,24.6,8,38.6,F,0
client_0,26.8,9,46.2,F,0
client_0,62.0,7,22.7,F,0
client_0,74.9,6,41.6,F,0
client_0,25.9,16,36.1,M,1
client_0,35.6,6,58.5,F,0
client_0,44.1,15,38.3,F,1
client_0,60.7,6,56.7,M,0
client_0,28.2,14,29.0,F,1
client_0,37.1,9,45.9,F,0
client_0,49.3,11,43.2,F,1
client_0,45.2,9,31.3,F,0
client_0,35.5,11,41.8,F,1
client_0,38.4,10,52.1,M,0
client_0,23.5,11,36.8,M,0
client_0,37.1,10,23.1,F,0
client_0,36.8,11,39.8,F,0
client_0,42.8,15,31.0,F,1
client_0,33.3,10,36.6,M,0
client_0,45.7,9,39.2,M,0
client_0,52.2,7,22.9,M,0
client_0,41.9,9,23.8,F,0
client_0,44.2,7,44.8,F,0
client_0,40.6,8,34.8,F,0
client_0,40.0,16,14.4,F,1
client_0,31.3,6,47.8,F,0
client_0,43.8,11,42.7,M,0
client_0,38.8,15,32.9,F,1
client_0,65.1,16,26.8,M,1
client_0,58.9,7,48.4,M,0
client_0,44.6,7,43.5,M,0
client_0,30.8,10,63.8,F,1
client_0,26.7,12,44.2,M,1
client_0,54.3,16,43.9,F,1
client_0,43.2,8,38.3,F,0
client_0,45.8,7,48.2,F,0
client_0,19.1,8,46.3,F,0
client_0,51.1,15,52.5,M,1
client_0,45.5,6,34.8,M,0
client_0,26.7,10,35.6,M,0
client_0,34.3,7,35.2,F,0
client_0,43.2,7,47.9,F,0
client_0,40.6,16,55.0,M,1
client_0,36.5,6,35.4,F,0
client_0,38.8,9,35.8,M,0
client_0,37.0,16,43.1,M,1
client_0,41.8,12,37.5,M,1
client_0,57.7,6,49.5,M,0
client_0,18.0,11,17.5,F,0
client_0,37.2,16,31.7,F,1
client_0,42.1,10,32.2,F,0
client_0,43.6,11,16.8,F,0
client_0,35.5,11,30.4,F,0
client_0,18.9,13,30.8,M,1
client_0,43.9,8,38.0,F,0
client_0,60.7,15,51.1,M,1
client_0,21.6,16,37.5,M,1
client_0,50.4,7,29.7,M,0
client_0,36.1,15,39.4,F,1
client_0,39.3,14,50.5,M,1
client_0,27.4,14,30.2,F,1
client_0,36.0,10,30.9,F,0
client_0,55.6,11,45.6,F,1
client_0,47.0,15,37.8,F,1
client_0,60.8,7,46.5,F,0
client_0,54.1,15,39.9,F,1
client_0,45.3,16,47.0,M,1
client_0,60.9,13,29.6,F,1
client_0,45.3,9,39.9,F,0
client_0,49.9,12,37.9,M,1
client_0,36.4,6,27.8,M,0
client_0,40.8,16,24.4,M,1
client_0,31.6,9,46.9,F,0
client_0,51.9,6,36.5,M,0
client_0,25.9,14,29.8,M,1
client_0,49.4,13,39.0,F,1
client_0,37.7,12,51.3,F,1
client_0,54.1,6,17.2,M,0
client_0,49.0,14,25.0,F,1
client_0,61.8,13,30.8,F,1
client_0,48.8,14,54.6,M,1
client_0,21.1,15,42.8,M,1
client_0,39.2,8,47.7,M,0
client_0,25.9,8,28.6,M,0
client_0,33.8,16,28.8,M,1
client_0,58.1,11,44.5,F,0
client_0,47.7,10,40.6,F,0
client_0,31.6,9,45.5,M,0
client_0,27.8,13,38.1,F,0
client_0,40.4,14,42.8,F,1
client_0,25.4,6,41.6,M,0
client_0,31.9,12,47.8,M,1
client_0,43.7,16,48.1,F,1
client_0,53.9,9,23.8,F,0
client_0,47.3,9,17.5,M,0
client_0,18.0,15,50.0,F,1
client_0,43.7,6,51.9,M,0
client_0,40.9,10,29.8,M,0
client_0,45.0,11,21.4,M,0
client_0,59.4,14,41.0,F,1
client_0,18.0,7,49.3,M,0
client_0,32.9,10,58.0,F,0
client_0,47.1,7,45.2,M,0
client_0,21.0,14,36.3,F,0
client_0,57.7,12,31.1,F,0
client_0,44.4,11,40.1,M,0
client_0,50.2,10,37.0,F,0
client_0,33.1,7,29.8,M,0
client_0,49.8,16,60.5,M,1
client_0,52.8,13,57.9,F,1
client_0,42.8,9,51.4,F,0
client_0,42.8,10,30.8,M,0
client_0,43.2,13,48.6,F,1
client_0,29.6,13,46.4,F,1
client_0,38.2,11,44.4,F,1
client_0,38.2,9,52.5,F,1
client_0,44.6,13,46.4,M,1
client_0,52.0,13,47.4,F,1
client_0,27.3,12,46.4,M,1
client_0,38.5,6,43.4,F,0
client_0,57.8,11,22.2,M,0
client_0,31.1,12,40.8,F,1
client_0,30.1,16,34.4,F,1
client_0,42.4,11,27.2,M,0
client_0,50.1,9,56.8,F,1
client_0,40.1,12,57.3,F,1
client_0,55.9,7,53.6,M,1
client_0,50.3,6,42.6,F,0
client_0,50.1,13,53.5,F,1
client_0,46.6,16,40.1,F,1
client_0,67.9,15,42.0,M,1
client_0,37.5,12,29.1,M,0
client_0,18.0,6,44.0,M,0
client_0,59.3,16,40.6,M,1
client_0,34.5,10,27.0,F,0
client_0,41.3,9,39.5,F,0
client_0,55.7,15,39.2,F,1
client_0,20.8,14,58.0,F,1
client_0,25.0,14,48.9,F,1
client_0,20.8,9,40.1,M,0
client_0,30.5,16,42.5,M,1
client_0,45.3,10,40.4,M,1
client_0,46.3,11,38.0,M,0
client_0,43.3,14,29.2,M,0
client_0,23.0,13,38.5,F,1
client_0,18.0,7,32.5,M,0
client_0,40.7,9,27.5,M,0
client_0,34.3,9,45.1,F,0
client_0,45.5,16,43.9,F,1
client_0,48.4,13,22.1,M,1
client_0,41.7,10,38.8,F,0
client_0,49.1,14,50.0,M,1
client_0,42.8,14,50.6,M,1
client_0,46.4,10,50.3,F,1
client_0,31.5,10,40.4,F,0
client_1,23.4,10,43.9,M,0
client_1,23.1,16,45.5,M,1
client_1,37.9,11,42.3,M,1
client_1,31.2,7,49.7,M,0
client_1,44.5,6,40.9,M,0
client_1,45.4,8,43.9,M,0
client_1,43.9,13,43.0,F,1
client_1,42.9,11,39.1,M,1
client_1,58.9,9,34.7,F,0
client_1,27.2,11,62.1,F,1
client_1,39.3,15,35.5,M,1
client_1,53.6,12,33.3,M,1
client_1,55.2,6,44.3,F,0
client_1,22.9,6,42.5,M,0
client_1,36.3,11,26.0,M,0
client_1,56.3,10,51.2,M,0
client_1,46.1,15,39.1,F,1
client_1,42.3,12,28.9,M,0
client_1,37.4,14,51.9,F,1
client_1,35.4,12,46.3,M,1
client_1,43.5,9,27.4,F,0
client_1,37.0,13,57.8,M,1
client_1,39.5,12,46.6,F,1
client_1,40.9,13,39.9,F,1
client_1,31.9,8,55.9,F,0
client_1,46.4,13,41.6,M,1
client_1,75.0,9,39.7,F,0
client_1,18.7,14,33.4,M,1
client_1,43.9,14,45.8,F,1
client_1,30.9,12,44.8,F,1
client_1,46.9,16,40.1,M,1
client_1,40.6,11,32.1,M,0
client_1,49.1,6,41.3,F,0
client_1,54.1,12,39.3,F,1
client_1,42.3,14,26.7,F,1
client_1,53.6,7,25.3,M,0
client_1,18.0,7,45.7,M,0
client_1,59.1,9,14.0,F,0
client_1,44.5,15,42.1,M,1
client_1,52.9,11,35.2,F,1
client_1,25.4,16,53.1,F,1
client_1,30.0,15,35.1,M,1
client_1,41.8,12,46.6,M,1
client_1,39.8,13,36.0,F,1
client_1,43.4,9,41.1,M,0
client_1,53.0,6,47.4,F,0
client_1,18.8,10,35.4,M,1
client_1,51.7,12,50.0,F,0
client_1,40.1,8,30.1,F,0
client_1,37.6,8,42.9,F,0
client_1,22.3,6,49.2,M,0
client_1,46.0,14,46.6,M,0
client_1,18.0,15,59.2,F,1
client_1,47.8,15,32.4,M,1
client_1,22.1,10,26.2,M,0
client_1,40.6,12,30.1,F,1
client_1,38.6,16,46.6,M,1
client_1,54.0,12,45.0,M,1
client_1,37.9,9,41.0,F,0
client_1,31.7,9,28.8,F,0
client_1,33.9,13,47.7,F,1
client_1,55.3,10,27.8,M,0
client_1,46.4,15,51.6,M,1
client_1,35.4,15,68.6,F,1
client_1,37.2,6,43.7,F,0
client_1,21.2,13,45.8,F,1
client_1,44.7,10,35.1,F,0
client_1,18.9,11,21.9,F,0
client_1,49.0,8,34.0,F,0
client_1,41.5,10,29.1,M,0
client_1,68.6,9,25.5,F,0
client_1,26.8,6,57.2,M,0
client_1,38.8,14,42.7,F,1
client_1,61.6,7,43.8,F,0
client_1,54.3,10,36.9,M,0
client_1,31.6,8,38.3,M,0
client_1,42.7,7,49.6,M,0
client_1,40.0,10,39.7,M,0
client_1,43.4,16,45.3,F,1
client_1,31.6,16,38.0,F,1
client_1,38.9,10,36.6,M,0
client_1,20.8,11,25.9,M,1
client_1,41.6,16,20.2,M,1
client_1,45.4,8,37.4,M,0
client_1,37.3,16,40.6,F,1
client_1,20.6,7,27.1,F,0
client_1,51.9,8,39.7,F,0
client_1,44.4,9,40.5,M,0
client_1,31.3,6,18.4,M,0
client_1,36.6,14,30.8,F,1
client_1,22.0,15,44.1,M,1
client_1,27.7,10,43.9,M,1
client_1,33.5,15,28.5,F,1
client_1,54.7,14,41.6,F,1
client_1,32.3,14,50.2,M,1
client_1,47.7,14,47.8,M,1
client_1,33.5,12,39.0,F,1
client_1,43.0,7,35.3,F,0
client_1,38.3,16,33.7,F,1
client_1,50.5,12,44.7,M,1
client_1,33.6,15,42.0,F,0
client_1,21.1,16,46.3,M,1
client_1,23.4,8,41.3,F,0
client_1,33.6,10,48.2,F,1
client_1,25.0,8,40.9,F,0
client_1,44.9,6,47.8,M,0
client_1,34.4,16,48.7,F,1
client_1,68.5,16,32.0,M,1
client_1,19.1,16,21.9,F,0
client_1,42.4,15,55.4,M,1
client_1,26.5,13,42.6,F,1
client_1,34.1,11,22.9,F,0
client_1,41.7,16,32.9,M,1
client_1,18.0,12,47.7,M,0
client_1,42.8,13,37.2,M,1
client_1,62.8,8,34.9,F,0
client_1,34.6,14,54.0,M,1
client_1,43.1,15,29.5,F,1
client_1,52.3,13,32.0,M,1
client_1,38.0,11,42.1,M,0
client_1,33.0,8,43.9,M,0
client_1,18.0,6,45.0,M,0
client_1,47.7,12,49.1,M,1
client_1,38.6,13,42.0,M,1
client_1,27.8,14,44.9,F,1
client_1,41.5,16,37.4,F,1
client_1,33.0,11,40.6,M,1
client_1,33.7,15,41.1,M,1
client_1,47.3,13,42.2,M,1
client_1,23.9,9,47.7,M,0
client_1,52.6,15,45.6,F,1
client_1,23.2,6,40.4,F,0
client_1,32.0,12,31.9,M,1
client_1,63.1,16,40.7,M,1
client_1,53.5,13,39.7,F,1
client_1,41.2,16,41.9,F,1
client_1,28.7,6,62.1,F,0
client_1,33.6,11,34.8,F,0
client_1,40.9,14,44.2,M,1
client_1,40.5,13,50.7,M,1
client_1,38.9,15,41.0,M,1
client_1,39.6,11,63.4,M,1
client_1,37.4,13,36.2,F,1
client_1,22.7,10,43.2,F,0
client_1,33.8,15,32.0,F,1
client_1,51.0,7,36.5,F,0
client_1,23.6,8,42.5,M,0
client_1,37.7,7,48.5,F,0
client_1,30.2,13,43.2,F,1
client_1,41.3,8,52.6,M,0
client_1,35.3,9,39.1,M,0
client_1,57.7,15,36.7,F,1
client_1,46.1,9,67.0,F,1
client_1,24.3,7,43.9,M,0
client_1,48.1,6,32.8,M,0
client_1,30.7,8,33.1,M,0
client_1,33.1,16,30.6,F,1
client_1,43.8,12,49.4,F,1
client_1,34.1,16,36.4,F,0
client_1,50.7,8,41.3,M,1
client_1,30.7,9,39.4,M,0
client_1,32.6,7,47.3,M,0
client_1,32.1,10,31.5,M,0
client_1,33.2,12,29.2,M,0
client_1,53.2,14,42.2,F,1
client_1,47.5,10,46.0,F,0
client_1,60.5,14,43.3,M,1
client_1,67.2,12,31.9,F,1
client_1,27.6,9,46.8,F,1
client_1,40.8,16,32.6,F,1
client_1,25.9,10,34.8,F,0
client_1,30.7,7,30.6,M,0
client_1,32.4,16,53.0,M,1
client_1,27.3,16,46.3,M,1
client_1,27.4,6,46.0,F,0
client_1,38.3,15,52.5,F,1
client_1,25.4,16,68.1,F,1
client_1,50.1,15,22.9,F,1
client_1,29.0,8,32.6,M,0
client_1,73.7,12,33.8,M,1
client_1,34.6,11,31.5,M,0
client_1,40.9,12,29.2,F,0
client_1,24.5,12,37.0,M,1
client_1,60.5,13,27.8,F,1
client_1,53.4,11,43.4,F,1
client_1,43.6,13,40.5,M,1
client_1,23.8,11,44.8,F,1
client_1,42.5,6,45.1,F,0
client_1,26.5,6,46.0,M,0
client_1,57.5,16,36.3,F,1
client_1,49.7,16,61.2,M,1
client_1,41.1,12,42.3,F,1
client_1,18.0,7,21.4,M,0
client_1,28.2,14,30.0,F,1
client_1,48.3,7,22.6,F,0
client_1,54.6,10,40.2,M,0
client_1,53.3,9,38.8,F,0
client_1,20.9,6,35.3,M,0
client_1,43.6,14,60.1,F,1
client_1,52.2,11,45.5,M,1
client_1,20.1,9,47.3,M,0
client_1,39.9,11,30.7,F,0
client_1,43.3,6,30.0,F,0
client_1,36.4,10,40.4,M,0
client_1,18.0,11,41.7,M,0
client_1,36.1,9,21.4,F,0
client_1,36.1,15,38.2,F,1
client_1,38.2,8,40.1,M,0
client_1,33.2,7,37.8,M,0
client_1,34.7,11,31.9,F,0
client_1,39.5,15,34.6,F,1
client_1,45.3,10,38.2,M,1
client_1,36.3,6,40.9,F,0
client_1,35.1,16,46.0,F,1
client_1,41.1,10,50.8,M,0
client_1,18.0,7,37.1,F,0
client_1,45.7,12,35.4,M,1
client_1,40.0,9,44.4,F,1
client_1,40.5,16,46.1,M,1
client_1,51.5,9,35.7,F,0
client_1,18.0,12,47.9,M,1
client_1,18.0,11,49.8,F,1
client_1,43.3,8,52.9,F,1
client_1,39.9,11,57.8,M,1
client_1,42.0,7,31.3,M,0
client_1,34.5,13,40.1,M,1
client_1,48.0,14,40.1,F,1
client_1,51.2,16,39.0,F,1
client_1,45.8,9,33.5,M,0
client_1,36.9,9,25.1,M,0
client_1,18.0,12,40.9,F,1
client_1,49.2,13,32.3,M,0
client_1,54.7,16,40.9,M,1
client_1,47.7,6,32.1,M,0
client_1,29.4,8,29.0,M,0
client_1,48.1,8,42.3,M,0
client_1,50.3,8,41.5,M,0
client_1,58.7,11,45.8,M,1
client_1,29.5,15,61.9,M,1
client_1,37.3,6,42.8,M,0
client_1,49.0,14,44.9,F,1
client_1,40.7,12,29.2,M,1
client_1,26.6,12,27.1,M,0
client_1,45.0,13,55.8,M,1
client_1,46.9,7,30.8,M,0
client_1,41.1,14,29.6,F,1
client_1,42.6,8,39.6,M,0
client_1,36.9,11,39.1,F,0
client_1,57.7,13,31.0,F,1
client_1,29.2,12,37.0,F,0
client_1,33.0,9,52.3,M,0
client_1,40.1,10,31.9,M,0
client_1,50.5,11,26.1,M,0
client_1,22.0,6,49.4,F,0
client_1,24.3,13,44.9,F,1
client_1,18.0,7,33.8,M,0
client_1,40.4,11,24.2,F,1
client_1,26.6,13,32.6,M,1
client_1,35.4,6,39.5,M,0
client_1,47.9,16,51.7,M,1
client_1,32.3,10,29.6,F,0
client_1,42.8,6,39.2,F,0
client_1,36.4,13,46.8,F,0
client_1,48.1,12,16.2,M,0
client_1,45.7,13,50.3,F,1
client_1,31.7,14,28.2,M,1
client_1,38.0,11,43.3,F,1
client_1,52.5,15,42.5,F,1
client_1,44.7,10,50.8,F,1
client_1,23.2,11,45.5,M,0
client_1,47.9,7,16.2,M,0
client_1,27.0,12,32.2,F,1
client_1,57.0,8,41.4,M,0
client_1,52.3,13,38.1,M,1
client_1,43.5,14,44.8,M,1
client_1,41.9,15,47.9,M,1
client_1,37.5,16,46.1,F,1
client_1,48.1,7,37.9,F,0
client_1,35.6,7,21.5,M,0
client_1,42.8,16,35.4,F,1
client_1,50.5,10,44.2,F,1
client_1,33.3,6,29.1,F,0
client_1,32.6,9,46.3,M,0
client_1,25.7,15,49.1,F,1
client_1,27.2,9,41.3,F,0
client_1,18.1,6,9.4,M,0
client_1,48.8,13,27.2,F,1
client_1,61.7,8,58.9,F,1
client_1,57.1,9,34.5,F,0
client_1,20.5,6,20.2,F,0
client_1,48.7,12,52.4,M,1
client_1,57.1,10,40.1,M,0
client_1,34.5,15,51.0,F,1
client_1,41.2,9,42.8,M,1
client_1,18.0,8,44.6,M,0
client_1,43.2,7,43.6,M,0
client_1,27.2,8,47.0,M,0
client_1,42.4,10,62.8,M,1
client_1,21.3,6,49.7,F,0
client_1,46.5,10,24.2,F,0
client_1,52.3,15,44.5,M,1
client_1,30.6,14,51.4,M,1
client_1,26.4,13,52.0,M,0
client_1,18.0,15,35.7,F,1
client_1,36.8,14,51.6,F,1
client_1,33.0,13,49.3,M,1
client_1,21.4,15,65.7,F,1
client_1,45.4,7,32.5,M,0
client_1,34.6,15,34.9,M,1
client_1,27.1,9,36.9,M,0
client_1,33.3,14,35.1,F,1
client_1,52.9,16,31.1,M,1
client_1,47.2,11,12.4,M,0
client_1,38.4,6,35.7,M,0
client_1,47.4,10,43.7,M,1
client_1,26.1,10,35.1,F,0
client_1,40.4,16,59.4,M,1
client_1,41.8,16,40.1,M,1
client_1,34.4,12,52.9,M,0
client_1,45.2,16,42.6,M,1
client_1,30.6,10,48.3,F,0
client_1,46.1,10,42.8,M,0
client_1,46.6,15,53.7,F,1
client_1,18.0,13,40.6,F,1
client_1,54.3,11,45.0,M,1
client_1,18.0,11,43.7,F,0
client_1,32.6,13,37.1,F,1
client_1,52.3,14,44.0,M,1
client_1,36.2,11,62.3,M,1
client_1,22.4,6,37.3,F,0
client_1,26.9,7,44.2,F,0
client_1,52.3,7,52.6,F,0
client_1,18.0,11,51.4,M,0
client_1,53.5,12,40.1,F,0
client_1,39.3,14,16.2,M,0
client_1,25.7,8,45.2,M,1
client_1,33.0,14,17.8,M,0
client_1,27.8,13,54.7,F,1
client_1,50.4,6,41.7,M,1
client_1,48.8,9,50.0,F,0
client_1,19.4,9,31.0,F,0
client_1,35.2,15,24.5,F,1
client_1,29.6,16,42.6,F,1
client_1,55.5,15,39.7,M,1
client_1,23.8,11,35.1,F,1
client_1,59.3,11,40.8,M,1
client_1,39.6,9,67.7,F,1
client_1,26.1,14,48.3,F,1
client_1,31.9,6,50.5,F,0
client_1,30.4,8,48.4,F,0
client_1,24.7,7,54.8,F,0
client_1,41.1,11,38.1,M,1
client_1,25.3,9,19.5,M,0
client_1,18.0,8,38.1,F,0
client_1,35.4,10,48.1,M,0
client_1,18.4,15,30.3,M,1
client_1,31.0,12,38.2,F,1
client_1,29.1,15,33.1,F,1
client_1,29.5,16,55.0,F,1
client_1,64.0,15,47.5,M,1
client_1,40.7,9,46.5,M,0
client_1,42.9,15,46.2,F,1
client_1,18.7,16,39.6,M,1
client_1,32.2,16,42.0,M,1
client_1,42.6,9,28.1,M,0
client_1,27.7,8,18.1,F,0
client_1,50.9,12,41.5,M,1
client_1,25.6,16,43.2,M,1
client_1,36.6,15,52.1,M,1
client_1,33.0,12,55.7,M,1
client_1,42.0,7,55.7,M,0
client_1,32.3,10,30.0,M,0
client_1,36.7,13,36.5,F,0
client_1,37.2,12,44.8,F,1
client_1,31.2,9,65.3,F,1
